table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10289,r880,South Dakota -> Departments -> Department of Agriculture,South Dakota,Departments,Department of Agriculture,3,12933,3099,0,200,9533,0,100
10289,r881,South Dakota -> Departments -> Department of Defense,South Dakota,Departments,Department of Defense,3,36027,9919,0,18961,6418,729,0
10289,r882,South Dakota -> Departments -> Department of Energy,South Dakota,Departments,Department of Energy,3,23598,104,0,294,417,0,22783
10289,r883,South Dakota -> Departments -> Department of Health and Human Services,South Dakota,Departments,Department of Health and Human Services,3,29261,0,0,1386,11459,9277,7139
10289,r884,South Dakota -> Departments -> Department of Homeland Security,South Dakota,Departments,Department of Homeland Security,3,1620,0,0,1620,0,0,0
10289,r885,South Dakota -> Departments -> Department of the Interior,South Dakota,Departments,Department of the Interior,3,114,0.05,0,0,99,0,0
10289,r886,South Dakota -> Departments -> Department of Justice,South Dakota,Departments,Department of Justice,3,150,0,0,0,150,0,0
10289,r887,South Dakota -> Departments -> Department of Labor,South Dakota,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r888,South Dakota -> Departments -> Department of Transportation,South Dakota,Departments,Department of Transportation,3,2078,0,0,0,0,0,2078
10289,r889,South Dakota -> Departments -> Department of the Treasury,South Dakota,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r890,South Dakota -> Departments -> Department of Veterans Affairs,South Dakota,Departments,Department of Veterans Affairs,3,579,579,0,0,0,0,0
10289,r891,South Dakota -> Other agencies,South Dakota,Other agencies,,2,,,,,,,
10289,r892,South Dakota -> Other agencies -> Consumer Product Safety Commission,South Dakota,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r893,South Dakota -> Other agencies -> Environmental Protection Agency,South Dakota,Other agencies,Environmental Protection Agency,3,74,0,0,0,55,0.05,0
10289,r894,South Dakota -> Other agencies -> National Aeronautics and Space Administration,South Dakota,Other agencies,National Aeronautics and Space Administration,3,12800,9831,0,1790,1179,0,0
10289,r895,South Dakota -> Other agencies -> National Science Foundation,South Dakota,Other agencies,National Science Foundation,3,12906,0,0,306,8445,4155,0
10289,r896,South Dakota -> Other agencies -> Postal Service,South Dakota,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r897,Tennessee,Tennessee,,,1,3461773,1124264,1160050,337386,360163,468898,11010
10289,r898,Tennessee -> Departments,Tennessee,Departments,,2,,,,,,,
10289,r899,Tennessee -> Departments -> Department of Agriculture,Tennessee,Departments,Department of Agriculture,3,34754,12737,0,0,21442,0,574
10289,r900,Tennessee -> Departments -> Department of Commerce,Tennessee,Departments,Department of Commerce,3,330,0,0,0,330,0,0
10289,r901,Tennessee -> Departments -> Department of Defense,Tennessee,Departments,Department of Defense,3,847842,644976,30646,133238,30330,8652,0
10289,r902,Tennessee -> Departments -> Department of Education,Tennessee,Departments,Department of Education,3,9203,0,0,900,4241,3800,262
10289,r903,Tennessee -> Departments -> Department of Energy,Tennessee,Departments,Department of Energy,3,1304514,12440,1123770,127883,34223,1528,4670
10289,r904,Tennessee -> Departments -> Department of Health and Human Services,Tennessee,Departments,Department of Health and Human Services,3,668456,460,616,20874,200165,445640,702
10289,r905,Tennessee -> Departments -> Department of Homeland Security,Tennessee,Departments,Department of Homeland Security,3,4691,425,685,1820,1761,0,0
10289,r906,Tennessee -> Departments -> Department of the Interior,Tennessee,Departments,Department of the Interior,3,9256,8530,80,50,425,0,172
10289,r907,Tennessee -> Departments -> Department of Justice,Tennessee,Departments,Department of Justice,3,406,0,0,0,406,0,0
10289,r908,Tennessee -> Departments -> Department of Labor,Tennessee,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r909,Tennessee -> Departments -> Department of Transportation,Tennessee,Departments,Department of Transportation,3,6556,0,975,850,100,0,4631
10289,r910,Tennessee -> Departments -> Department of the Treasury,Tennessee,Departments,Department of the Treasury,3,1002,0.05,1000,0,0,0,0
10289,r911,Tennessee -> Departments -> Department of Veterans Affairs,Tennessee,Departments,Department of Veterans Affairs,3,38667,38667,0,0,0,0,0
10289,r912,Tennessee -> Other agencies,Tennessee,Other agencies,,2,,,,,,,
10289,r913,Tennessee -> Other agencies -> Consumer Product Safety Commission,Tennessee,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r914,Tennessee -> Other agencies -> Environmental Protection Agency,Tennessee,Other agencies,Environmental Protection Agency,3,23133,0,0,23133,0,0,0
10289,r915,Tennessee -> Other agencies -> National Aeronautics and Space Administration,Tennessee,Other agencies,National Aeronautics and Space Administration,3,422009,399747,0,15444,6818,0,0
10289,r916,Tennessee -> Other agencies -> National Science Foundation,Tennessee,Other agencies,National Science Foundation,3,65731,750,0,3295,59912,1774,0
10289,r917,Tennessee -> Other agencies -> Nuclear Regulatory Commission,Tennessee,Other agencies,Nuclear Regulatory Commission,3,8001,5503,2279,0,0,219,0
10289,r918,Tennessee -> Other agencies -> Postal Service,Tennessee,Other agencies,Postal Service,3,228,0,0,228,0,0,0
10289,r919,Tennessee -> Other agencies -> Social Security Administration,Tennessee,Other agencies,Social Security Administration,3,0.05,0,0,0,0.05,0,0
10289,r920,Tennessee -> Other agencies -> Tennessee Valley Authority,Tennessee,Other agencies,Tennessee Valley Authority,3,16942,0,0,9657,0,7285,0
10289,r921,Texas,Texas,,,1,6131234,900062,65396,2563779,2364744,174043,63210
10289,r922,Texas -> Departments,Texas,Departments,,2,,,,,,,
10289,r923,Texas -> Departments -> Department of Agriculture,Texas,Departments,Department of Agriculture,3,138506,49931,0,1274,85539,1662,100
10289,r924,Texas -> Departments -> Department of Commerce,Texas,Departments,Department of Commerce,3,11511,0,0,154,10163,1194,0
10289,r925,Texas -> Departments -> Department of Defense,Texas,Departments,Department of Defense,3,2534815,276770,64555,1904298,249005,40188,0
10289,r926,Texas -> Departments -> Department of Education,Texas,Departments,Department of Education,3,24646,0,0,67,17197,2222,5160
10289,r927,Texas -> Departments -> Department of Energy,Texas,Departments,Department of Energy,3,127314,0.05,0,40612,83211,1954,1536
10289,r928,Texas -> Departments -> Department of Health and Human Services,Texas,Departments,Department of Health and Human Services,3,1728086,0,0,153837,1483318,56393,34539
10289,r929,Texas -> Departments -> Department of Homeland Security,Texas,Departments,Department of Homeland Security,3,13562,0,0,11753,1809,0,0
10289,r930,Texas -> Departments -> Department of the Interior,Texas,Departments,Department of the Interior,3,25587,13255,0,3150,6364,1350,1469
10289,r931,Texas -> Departments -> Department of Justice,Texas,Departments,Department of Justice,3,3311,0,0,0,3007,0,303
10289,r932,Texas -> Departments -> Department of Labor,Texas,Departments,Department of Labor,3,77,0.05,0,0.05,0,0,0
10289,r933,Texas -> Departments -> Department of Transportation,Texas,Departments,Department of Transportation,3,30545,0,0,3015,5107,2346,20076
10289,r934,Texas -> Departments -> Department of the Treasury,Texas,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r935,Texas -> Departments -> Department of Veterans Affairs,Texas,Departments,Department of Veterans Affairs,3,54860,54860,0,0,0,0,0
10289,r936,Texas -> Other agencies,Texas,Other agencies,,2,,,,,,,
10289,r937,Texas -> Other agencies -> Appalachian Regional Commission,Texas,Other agencies,Appalachian Regional Commission,3,0.05,0,0,0,0.05,0,0
10289,r938,Texas -> Other agencies -> Consumer Product Safety Commission,Texas,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r939,Texas -> Other agencies -> Environmental Protection Agency,Texas,Other agencies,Environmental Protection Agency,3,2886,0,0,2886,0,0,0
10289,r940,Texas -> Other agencies -> National Aeronautics and Space Administration,Texas,Other agencies,National Aeronautics and Space Administration,3,1055227,505205,0,436014,49565,64416,0.05
10289,r941,Texas -> Other agencies -> National Science Foundation,Texas,Other agencies,National Science Foundation,3,377760,0,0,5945,369498,2318,0
10289,r942,Texas -> Other agencies -> Nuclear Regulatory Commission,Texas,Other agencies,Nuclear Regulatory Commission,3,1791,0,841,0,950,0,0
10289,r943,Texas -> Other agencies -> Postal Service,Texas,Other agencies,Postal Service,3,731,0,0,731,0,0,0
10289,r944,Texas -> Other agencies -> Social Security Administration,Texas,Other agencies,Social Security Administration,3,0.05,0,0,0,0.05,0,0
10289,r945,Utah,Utah,,,1,2439690,208741,206351,1484197,523742,11761,4897
10289,r946,Utah -> Departments,Utah,Departments,,2,,,,,,,
10289,r947,Utah -> Departments -> Department of Agriculture,Utah,Departments,Department of Agriculture,3,31998,22992,0,250,8656,0,100
10289,r948,Utah -> Departments -> Department of Commerce,Utah,Departments,Department of Commerce,3,827,0,0,234,454,0,139
10289,r949,Utah -> Departments -> Department of Defense,Utah,Departments,Department of Defense,3,1640157,125921,0,1429880,78600,5756,0
10289,r950,Utah -> Departments -> Department of Education,Utah,Departments,Department of Education,3,900,0,0,900,0,0,0
10289,r951,Utah -> Departments -> Department of Energy,Utah,Departments,Department of Energy,3,259865,0,206351,21659,31805,50,0
10289,r952,Utah -> Departments -> Department of Health and Human Services,Utah,Departments,Department of Health and Human Services,3,259133,0,0,14583,240540,2876,1134
10289,r953,Utah -> Departments -> Department of the Interior,Utah,Departments,Department of the Interior,3,12347,10471,0,0.05,669,276,907
10289,r954,Utah -> Departments -> Department of Labor,Utah,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r955,Utah -> Departments -> Department of Transportation,Utah,Departments,Department of Transportation,3,4044,360,0,1773,0,0,1911
10289,r956,Utah -> Departments -> Department of the Treasury,Utah,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r957,Utah -> Departments -> Department of Veterans Affairs,Utah,Departments,Department of Veterans Affairs,3,48948,48948,0,0,0,0,0
10289,r958,Utah -> Other agencies,Utah,Other agencies,,2,,,,,,,
10289,r959,Utah -> Other agencies -> Agency for Global Media,Utah,Other agencies,Agency for Global Media,3,100,0,0,100,0,0,0
10289,r960,Utah -> Other agencies -> Consumer Product Safety Commission,Utah,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r961,Utah -> Other agencies -> Environmental Protection Agency,Utah,Other agencies,Environmental Protection Agency,3,0.05,0,0,0,0.05,0.05,0
10289,r962,Utah -> Other agencies -> National Aeronautics and Space Administration,Utah,Other agencies,National Aeronautics and Space Administration,3,32983,0.05,0,6169,26770,0,0
10289,r963,Utah -> Other agencies -> National Science Foundation,Utah,Other agencies,National Science Foundation,3,148282,0,0,8562,136220,2793,706
10289,r964,Utah -> Other agencies -> Postal Service,Utah,Other agencies,Postal Service,3,60,0,0,60,0,0,0
10289,r965,Vermont,Vermont,,,1,244489,14305,0,58473,162040,127,9543
10289,r966,Vermont -> Departments,Vermont,Departments,,2,,,,,,,
10289,r967,Vermont -> Departments -> Department of Agriculture,Vermont,Departments,Department of Agriculture,3,28964,5454,0,0,23509,0,0
10289,r968,Vermont -> Departments -> Department of Commerce,Vermont,Departments,Department of Commerce,3,811,0,0,0,811,0,0
10289,r969,Vermont -> Departments -> Department of Defense,Vermont,Departments,Department of Defense,3,34521,621,0,30877,2896,127,0
10289,r970,Vermont -> Departments -> Department of Education,Vermont,Departments,Department of Education,3,101,0,0,0,101,0,0
10289,r971,Vermont -> Departments -> Department of Energy,Vermont,Departments,Department of Energy,3,21233,0,0,14456,6777,0,0
10289,r972,Vermont -> Departments -> Department of Health and Human Services,Vermont,Departments,Department of Health and Human Services,3,78242,0,0,10886,59276,0,8080
10289,r973,Vermont -> Departments -> Department of the Interior,Vermont,Departments,Department of the Interior,3,2109,1186,0,0,825,0,98
10289,r974,Vermont -> Departments -> Department of Labor,Vermont,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r975,Vermont -> Departments -> Department of Transportation,Vermont,Departments,Department of Transportation,3,1379,0,0,0,0.05,0,1366
10289,r976,Vermont -> Departments -> Department of the Treasury,Vermont,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r977,Vermont -> Departments -> Department of Veterans Affairs,Vermont,Departments,Department of Veterans Affairs,3,7043,7043,0,0,0,0,0
10289,r978,Vermont -> Other agencies,Vermont,Other agencies,,2,,,,,,,
10289,r979,Vermont -> Other agencies -> Consumer Product Safety Commission,Vermont,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r980,Vermont -> Other agencies -> Environmental Protection Agency,Vermont,Other agencies,Environmental Protection Agency,3,721,0,0,721,0,0,0
10289,r981,Vermont -> Other agencies -> National Aeronautics and Space Administration,Vermont,Other agencies,National Aeronautics and Space Administration,3,359,0,0,183,176,0,0
10289,r982,Vermont -> Other agencies -> National Science Foundation,Vermont,Other agencies,National Science Foundation,3,68973,0,0,1317,67655,0,0
10289,r983,Vermont -> Other agencies -> Postal Service,Vermont,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r984,Virginia,Virginia,,,1,9740743,2066103,580235,6385232,490072,208268,10833
10289,r985,Virginia -> Departments,Virginia,Departments,,2,,,,,,,
10289,r986,Virginia -> Departments -> Department of Agriculture,Virginia,Departments,Department of Agriculture,3,26478,951,0,0,18901,6027,600
10289,r987,Virginia -> Departments -> Department of Commerce,Virginia,Departments,Department of Commerce,3,18836,5939,0,4847,7420,196,433
10289,r988,Virginia -> Departments -> Department of Defense,Virginia,Departments,Department of Defense,3,7734839,1879983,385685,5331462,71506,64400,1802
10289,r989,Virginia -> Departments -> Department of Education,Virginia,Departments,Department of Education,3,42486,0,0,311,6584,35282,309
10289,r990,Virginia -> Departments -> Department of Energy,Virginia,Departments,Department of Energy,3,84086,1531,0,63360,16499,2696,0
10289,r991,Virginia -> Departments -> Department of Health and Human Services,Virginia,Departments,Department of Health and Human Services,3,555748,437,13819,164006,324863,52381,242
10289,r992,Virginia -> Departments -> Department of Homeland Security,Virginia,Departments,Department of Homeland Security,3,2415,0,0,2415,0,0,0
10289,r993,Virginia -> Departments -> Department of the Interior,Virginia,Departments,Department of the Interior,3,99214,96710,0,1560,63,206,675
10289,r994,Virginia -> Departments -> Department of Justice,Virginia,Departments,Department of Justice,3,4337,286,0,767,1150,2135,0
10289,r995,Virginia -> Departments -> Department of Labor,Virginia,Departments,Department of Labor,3,78,0.05,0,68,0,0,0
10289,r996,Virginia -> Departments -> Department of Transportation,Virginia,Departments,Department of Transportation,3,247841,7152,84594,117306,11085,20932,6772
10289,r997,Virginia -> Departments -> Department of the Treasury,Virginia,Departments,Department of the Treasury,3,28224,0.05,2550,25673,0,0,0
10289,r998,Virginia -> Departments -> Department of Veterans Affairs,Virginia,Departments,Department of Veterans Affairs,3,108306,19081,89225,0,0,0,0
10289,r999,Virginia -> Other agencies,Virginia,Other agencies,,2,,,,,,,
10289,r1000,Virginia -> Other agencies -> Administrative Office of the U.S. Courts,Virginia,Other agencies,Administrative Office of the U.S. Courts,3,4362,0,4362,0,0,0,0
10289,r1001,Virginia -> Other agencies -> Agency for Global Media,Virginia,Other agencies,Agency for Global Media,3,497,0,0,497,0,0,0
10289,r1002,Virginia -> Other agencies -> Agency for International Development,Virginia,Other agencies,Agency for International Development,3,3550,0,0,0,3550,0,0
10289,r1003,Virginia -> Other agencies -> Appalachian Regional Commission,Virginia,Other agencies,Appalachian Regional Commission,3,358,0,0,250,0,108,0
10289,r1004,Virginia -> Other agencies -> Consumer Product Safety Commission,Virginia,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r1005,Virginia -> Other agencies -> Environmental Protection Agency,Virginia,Other agencies,Environmental Protection Agency,3,35592,0,0,34789,592,210,0
10289,r1006,Virginia -> Other agencies -> National Aeronautics and Space Administration,Virginia,Other agencies,National Aeronautics and Space Administration,3,725709,53968,0,631310,16928,23503,0
10289,r1007,Virginia -> Other agencies -> National Science Foundation,Virginia,Other agencies,National Science Foundation,3,9756,0,0,275,9288,192,0
10289,r1008,Virginia -> Other agencies -> Nuclear Regulatory Commission,Virginia,Other agencies,Nuclear Regulatory Commission,3,3665,0,0,2165,1499,0,0
10289,r1009,Virginia -> Other agencies -> Postal Service,Virginia,Other agencies,Postal Service,3,1169,0,0,1169,0,0,0
10289,r1010,Virginia -> Other agencies -> Social Security Administration,Virginia,Other agencies,Social Security Administration,3,3196,54,0,3000,143,0,0
10289,r1011,Washington,Washington,,,1,3735831,365155,470081,1105503,912140,828150,54801
10289,r1012,Washington -> Departments,Washington,Departments,,2,,,,,,,
10289,r1013,Washington -> Departments -> Department of Agriculture,Washington,Departments,Department of Agriculture,3,69299,35371,0,67,32758,1090,0.05
10289,r1014,Washington -> Departments -> Department of Commerce,Washington,Departments,Department of Commerce,3,19713,1293,0,282,18133,0.05,0
10289,r1015,Washington -> Departments -> Department of Defense,Washington,Departments,Department of Defense,3,1166173,143794,19342,902996,63241,36800,0
10289,r1016,Washington -> Departments -> Department of Education,Washington,Departments,Department of Education,3,7847,0,0,1800,3082,684,2280
10289,r1017,Washington -> Departments -> Department of Energy,Washington,Departments,Department of Energy,3,453418,3760,367343,46308,29965,5377,666
10289,r1018,Washington -> Departments -> Department of Health and Human Services,Washington,Departments,Department of Health and Human Services,3,1487532,1644,21380,61130,589885,768242,45251
10289,r1019,Washington -> Departments -> Department of Homeland Security,Washington,Departments,Department of Homeland Security,3,222280,101974,51464,50034,12745,5491,572
10289,r1020,Washington -> Departments -> Department of the Interior,Washington,Departments,Department of the Interior,3,21316,16985,0,424,3462,0,445
10289,r1021,Washington -> Departments -> Department of Justice,Washington,Departments,Department of Justice,3,919,0,0,0,769,0,150
10289,r1022,Washington -> Departments -> Department of Labor,Washington,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r1023,Washington -> Departments -> Department of Transportation,Washington,Departments,Department of Transportation,3,12423,504,0,259,6233,0,5426
10289,r1024,Washington -> Departments -> Department of the Treasury,Washington,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r1025,Washington -> Departments -> Department of Veterans Affairs,Washington,Departments,Department of Veterans Affairs,3,58260,58260,0,0,0,0,0
10289,r1026,Washington -> Other agencies,Washington,Other agencies,,2,,,,,,,
10289,r1027,Washington -> Other agencies -> Consumer Product Safety Commission,Washington,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r1028,Washington -> Other agencies -> Environmental Protection Agency,Washington,Other agencies,Environmental Protection Agency,3,5940,0,0,1915,2970,1055,0
10289,r1029,Washington -> Other agencies -> National Aeronautics and Space Administration,Washington,Other agencies,National Aeronautics and Space Administration,3,52393,1405,0,33336,16972,679,0
10289,r1030,Washington -> Other agencies -> National Science Foundation,Washington,Other agencies,National Science Foundation,3,152255,150,4740,6714,131925,8726,0
10289,r1031,Washington -> Other agencies -> Nuclear Regulatory Commission,Washington,Other agencies,Nuclear Regulatory Commission,3,5812,0,5812,0,0,0,0
10289,r1032,Washington -> Other agencies -> Postal Service,Washington,Other agencies,Postal Service,3,225,0,0,225,0,0,0
10289,r1033,West Virginia,West Virginia,,,1,199238,43454,0,43846,85262,14850,11826
10289,r1034,West Virginia -> Departments,West Virginia,Departments,,2,,,,,,,
10289,r1035,West Virginia -> Departments -> Department of Agriculture,West Virginia,Departments,Department of Agriculture,3,34213,25807,0,0,8367,0,0.05
10289,r1036,West Virginia -> Departments -> Department of Defense,West Virginia,Departments,Department of Defense,3,29565,374,0,28262,835,94,0
10289,r1037,West Virginia -> Departments -> Department of Energy,West Virginia,Departments,Department of Energy,3,40607,0,0,12015,25030,3509,54
10289,r1038,West Virginia -> Departments -> Department of Health and Human Services,West Virginia,Departments,Department of Health and Human Services,3,67786,10593,0,1848,46245,0,9100
10289,r1039,West Virginia -> Departments -> Department of Homeland Security,West Virginia,Departments,Department of Homeland Security,3,396,0,0,396,0,0,0
10289,r1040,West Virginia -> Departments -> Department of the Interior,West Virginia,Departments,Department of the Interior,3,5543,4825,0,0,453,0,265
10289,r1041,West Virginia -> Departments -> Department of Justice,West Virginia,Departments,Department of Justice,3,327,0,0,0,327,0,0
10289,r1042,West Virginia -> Departments -> Department of Labor,West Virginia,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r1043,West Virginia -> Departments -> Department of Transportation,West Virginia,Departments,Department of Transportation,3,2088,0,0,74,400,0,1614
10289,r1044,West Virginia -> Departments -> Department of the Treasury,West Virginia,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r1045,West Virginia -> Departments -> Department of Veterans Affairs,West Virginia,Departments,Department of Veterans Affairs,3,1093,1093,0,0,0,0,0
10289,r1046,West Virginia -> Other agencies,West Virginia,Other agencies,,2,,,,,,,
10289,r1047,West Virginia -> Other agencies -> Appalachian Regional Commission,West Virginia,Other agencies,Appalachian Regional Commission,3,111,0,0,0,111,0,0
10289,r1048,West Virginia -> Other agencies -> Consumer Product Safety Commission,West Virginia,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r1049,West Virginia -> Other agencies -> Environmental Protection Agency,West Virginia,Other agencies,Environmental Protection Agency,3,0.05,0,0,0,0.05,0.05,0
10289,r1050,West Virginia -> Other agencies -> National Aeronautics and Space Administration,West Virginia,Other agencies,National Aeronautics and Space Administration,3,4444,760,0,831,2853,0,0
10289,r1051,West Virginia -> Other agencies -> National Science Foundation,West Virginia,Other agencies,National Science Foundation,3,12880,0,0,276,613,11237,754
10289,r1052,West Virginia -> Other agencies -> Nuclear Regulatory Commission,West Virginia,Other agencies,Nuclear Regulatory Commission,3,127,0,0,127,0,0,0
10289,r1053,West Virginia -> Other agencies -> Postal Service,West Virginia,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r1054,Wisconsin,Wisconsin,,,1,989462,63909,0,122281,744515,46037,12720
10289,r1055,Wisconsin -> Departments,Wisconsin,Departments,,2,,,,,,,
10289,r1056,Wisconsin -> Departments -> Department of Agriculture,Wisconsin,Departments,Department of Agriculture,3,63504,39466,0,0,23221,817,0
10289,r1057,Wisconsin -> Departments -> Department of Commerce,Wisconsin,Departments,Department of Commerce,3,1303,98,0,78,1127,0,0
10289,r1058,Wisconsin -> Departments -> Department of Defense,Wisconsin,Departments,Department of Defense,3,140754,10504,0,76076,52014,2160,0
10289,r1059,Wisconsin -> Departments -> Department of Energy,Wisconsin,Departments,Department of Energy,3,78110,0.05,0,12008,63588,1075,1406
10289,r1060,Wisconsin -> Departments -> Department of Health and Human Services,Wisconsin,Departments,Department of Health and Human Services,3,560784,0,0,21927,488765,41674,8418
10289,r1061,Wisconsin -> Departments -> Department of Homeland Security,Wisconsin,Departments,Department of Homeland Security,3,9722,0,0,9222,500,0,0
10289,r1062,Wisconsin -> Departments -> Department of the Interior,Wisconsin,Departments,Department of the Interior,3,14020,13375,0,50,259,0,336
10289,r1063,Wisconsin -> Departments -> Department of Labor,Wisconsin,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r1064,Wisconsin -> Departments -> Department of Transportation,Wisconsin,Departments,Department of Transportation,3,3048,0.05,0,0.05,444,0,2560
10289,r1065,Wisconsin -> Departments -> Department of the Treasury,Wisconsin,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r1066,Wisconsin -> Departments -> Department of Veterans Affairs,Wisconsin,Departments,Department of Veterans Affairs,3,403,403,0,0,0,0,0
10289,r1067,Wisconsin -> Other agencies,Wisconsin,Other agencies,,2,,,,,,,
10289,r1068,Wisconsin -> Other agencies -> Consumer Product Safety Commission,Wisconsin,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r1069,Wisconsin -> Other agencies -> Environmental Protection Agency,Wisconsin,Other agencies,Environmental Protection Agency,3,1186,0,0,0,875,311,0
10289,r1070,Wisconsin -> Other agencies -> National Aeronautics and Space Administration,Wisconsin,Other agencies,National Aeronautics and Space Administration,3,14892,0,0,239,14653,0,0
10289,r1071,Wisconsin -> Other agencies -> National Science Foundation,Wisconsin,Other agencies,National Science Foundation,3,101705,0,0,2635,99070,0,0
10289,r1072,Wisconsin -> Other agencies -> Postal Service,Wisconsin,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r1073,Wyoming,Wyoming,,,1,196837,49421,5170,71013,65688,2155,3390
10289,r1074,Wyoming -> Departments,Wyoming,Departments,,2,,,,,,,
10289,r1075,Wyoming -> Departments -> Department of Agriculture,Wyoming,Departments,Department of Agriculture,3,4443,0,0,724,3597,122,0
10289,r1076,Wyoming -> Departments -> Department of Commerce,Wyoming,Departments,Department of Commerce,3,428,0,0,0,250,0,178
10289,r1077,Wyoming -> Departments -> Department of Defense,Wyoming,Departments,Department of Defense,3,94807,2460,5170,68622,18071,484,0
10289,r1078,Wyoming -> Departments -> Department of Energy,Wyoming,Departments,Department of Energy,3,14884,0,0,336,14548,0,0
10289,r1079,Wyoming -> Departments -> Department of Health and Human Services,Wyoming,Departments,Department of Health and Human Services,3,35665,21234,0,233,12517,1529,152
10289,r1080,Wyoming -> Departments -> Department of the Interior,Wyoming,Departments,Department of the Interior,3,26644,25723,0,89,557,0.05,255
10289,r1081,Wyoming -> Departments -> Department of Labor,Wyoming,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r1082,Wyoming -> Departments -> Department of Transportation,Wyoming,Departments,Department of Transportation,3,2805,0,0,0,0,0,2805
10289,r1083,Wyoming -> Departments -> Department of the Treasury,Wyoming,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r1084,Wyoming -> Other agencies,Wyoming,Other agencies,,2,,,,,,,
10289,r1085,Wyoming -> Other agencies -> Consumer Product Safety Commission,Wyoming,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r1086,Wyoming -> Other agencies -> National Science Foundation,Wyoming,Other agencies,National Science Foundation,3,17155,0,0,1007,16149,0,0
10289,r1087,Wyoming -> Other agencies -> Postal Service,Wyoming,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r1088,Outlying areas,Outlying areas,,,1,228980,39463,0,48315,109160,24042,7999
10289,r1089,Outlying areas -> Departments,Outlying areas,Departments,,2,,,,,,,
10289,r1090,Outlying areas -> Departments -> Department of Agriculture,Outlying areas,Departments,Department of Agriculture,3,20962,4994,0,66,15902,0,0
10289,r1091,Outlying areas -> Departments -> Department of Commerce,Outlying areas,Departments,Department of Commerce,3,3918,0,0,253,3665,0,0
10289,r1092,Outlying areas -> Departments -> Department of Defense,Outlying areas,Departments,Department of Defense,3,82737,9325,0,45610,4014,23788,0
10289,r1093,Outlying areas -> Departments -> Department of Education,Outlying areas,Departments,Department of Education,3,3574,0,0,900,2674,0,0
10289,r1094,Outlying areas -> Departments -> Department of Energy,Outlying areas,Departments,Department of Energy,3,545,0,0,275,250,0,0.05
10289,r1095,Outlying areas -> Departments -> Department of Health and Human Services,Outlying areas,Departments,Department of Health and Human Services,3,56319,2429,0,1134,50059,247,2450
10289,r1096,Outlying areas -> Departments -> Department of the Interior,Outlying areas,Departments,Department of the Interior,3,6651,964,0,0,157,0,5529
10289,r1097,Outlying areas -> Departments -> Department of Justice,Outlying areas,Departments,Department of Justice,3,310,0,0,0,310,0,0
10289,r1098,Outlying areas -> Departments -> Department of Labor,Outlying areas,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
